gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
AHCYL1,83,2314,57,3152,2881,5011,4700,2772,3922,4137,3397,3309,4480,4321,5745,5252,2495,3887,3837,3870
AHCYL2,28,481,22,987,437,1825,1702,1136,918,1551,434,501,1947,1243,1084,916,544,1280,1018,957
AHDC1,121,3496,48,1776,280,1985,2099,262,759,2356,811,1116,3184,387,3383,1522,3335,2766,1554,1727
AHI1,128,2581,141,491,282,621,252,40,490,560,611,199,667,216,358,874,43,650,586,459
AHNAK,1054,39033,828,76506,15576,149588,135284,130815,75330,30944,4139,35409,98145,94083,47524,96758,10070,93009,57026,32201
AHNAK2,13,692,16,242,36,36,120,40,35,424,226,67,47,18,332,163,94,42,161,36
AHR,91,2144,31,2057,2292,4975,4729,5609,6543,2681,190,1194,4788,2820,4289,5744,555,2041,4476,3762
AHRR,2,22,2,26,22,25,20,5,20,53,17,6,18,7,183,21,54,37,16,53
AHSA1,98,4125,52,2485,2082,3854,1852,1286,4016,4327,2447,3021,3195,1472,3127,5586,2990,3015,4254,3971
AHSA2,789,7850,1196,8836,2760,4219,2623,3694,2532,2653,2231,1820,3700,2564,3033,2236,3896,4133,2432,3322
AHSG,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AHSP,9,253,7,2274,642,3,2,9,56,127,11,504,154,12,243,2,17,8,120,8
AICDA,0,0,0,1,6,4,2,2,14,7,1,0,0,7,0,5,0,0,1,0
AIDA,16,384,5,421,699,1336,843,581,745,786,542,754,895,587,666,1336,67,767,824,1120
AIF1,379,11267,123,11136,7723,16452,5099,10629,7599,12137,4353,2778,7314,8107,6478,8831,1995,3870,9072,5935
AIF1L,74,10,82,199,309,1982,133,102,124,1536,47,40,20,30,875,1338,2026,6,3231,2327
AIFM1,122,1125,75,1020,992,1363,1019,743,1299,2135,1573,1080,1381,813,1277,2026,1081,938,1413,1469
AIFM2,61,371,59,231,66,398,208,99,197,166,97,189,83,157,117,315,240,158,116,320
AIFM3,585,1081,83,1935,201,784,868,1278,1203,500,1168,102,1673,241,78,656,791,831,909,417
AIG1,13,51,10,159,1381,326,123,236,1149,443,2467,399,309,1244,339,712,1211,42,313,679
AIM1,105,554,90,2960,2700,4060,3479,4068,4773,3054,3333,1896,1801,3344,1049,7217,1967,1188,2391,665
AIM1L,1,21,0,28,50,4,14,75,7,19,2,15,10,39,16,3,350,1,3,11
AIM2,7,80,3,11,735,379,266,475,640,109,65,221,107,192,20,328,21,7,26,14
AIMP1,574,3531,306,2602,1024,1873,2246,1183,1599,2779,1427,996,2174,1115,1219,2376,73,1776,1677,1917
AIMP2,23,378,3,277,196,321,319,154,349,585,516,158,394,139,127,728,703,330,430,623
AIP,157,3446,102,2955,1216,2204,2749,1689,2373,4476,1143,1822,2776,2012,2365,2615,6393,2700,1819,2298
AIPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AIRE,3,2,1,66,2,0,2,7,0,0,0,7,14,1,2,0,3,3,1,28
AIRN,0,0,1,0,1,0,0,9,0,0,0,2,0,1,1,1,1,0,0,0
AJAP1,0,0,0,0,2,0,0,0,0,0,0,20,0,0,383,0,0,0,0,0
AJUBA,1,72,0,39,9,77,195,12,8,46,38,109,98,12,65,17,100,32,14,15
AK1,625,476,531,539,287,189,195,70,187,228,100,561,456,65,680,87,433,142,120,305
AK2,338,9221,225,7371,8053,10708,6354,8346,11618,14666,18693,4719,10318,5855,5613,21399,7829,6301,11112,13955
AK3,100,4101,52,2189,1977,2686,2202,914,2019,3162,2414,1745,2915,1926,2262,3459,905,1910,2494,3341
AK4,0,473,2,874,377,126,715,131,233,258,36,11,462,243,12,232,118,1507,137,51
AK5,3,28,12,349,35,16,588,22,28,183,7,336,52,2,41,43,40,3554,1145,239
AK7,0,2,0,10,15,4,9,0,4,4,1,18,17,0,49,4,2,0,2,7
AK8,0,4,1,3,27,9,16,2,1,31,1,47,41,3,15,19,21,7,7,67
AKAP1,183,1863,150,1350,821,1156,1483,633,1150,2190,1885,922,1098,753,1313,2499,2002,1044,1547,1484
AKAP10,69,1967,21,2217,1414,2306,1927,2290,2367,2134,1414,1157,1902,2118,1356,2209,850,1412,1167,927
AKAP11,52,1849,48,2145,725,3766,3709,1660,2317,2536,2818,1600,2629,2755,2701,2795,129,2178,1832,1647
AKAP12,9,0,1,5,407,1,37,12,45,70,26,166,9,24,14,6,26,1,2,15
AKAP13,176,3563,118,7210,8217,14747,12901,11305,12097,11257,3875,6278,9820,12389,9659,10619,9648,4087,6979,3603
AKAP14,2,5,0,7,4,1,2,3,1,6,2,0,4,1,3,3,0,3,1,1
AKAP17A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP2,0,0,1,2,5,0,9,1,1,2,4,0,3,2,1,5,0,3,0,7
AKAP3,0,1,0,21,10,56,8,8,17,47,6,6,27,1,41,9,7,18,5,20
AKAP4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
AKAP5,1,68,1,66,22,43,52,28,71,32,10,72,33,14,55,18,5,15,17,21
AKAP6,0,5,0,11,25,22,22,8,5,12,2,6,5,3,90,14,2,7,1,47
AKAP7,14,516,5,258,346,585,406,244,223,750,181,222,327,239,423,540,40,143,375,328
AKAP8,406,2723,211,2533,1181,1850,2032,1519,1702,2306,1717,1012,1934,1507,1646,2411,2881,1467,1432,1424
AKAP8L,2154,4529,1617,5612,1704,2438,2555,2171,2402,2838,1945,1860,2849,1876,3242,2296,6255,2349,1492,2221
AKAP9,214,3749,146,3713,2442,4382,4960,3643,3571,3224,3384,1135,3966,3550,1613,4533,385,3138,2673,2302
AKD1,18,421,30,366,246,498,348,364,404,275,291,157,543,176,527,383,33,334,246,258
AKIP1,38,1023,19,654,341,532,493,262,503,981,395,336,529,373,526,586,746,503,396,540
AKIRIN1,26,2212,21,2190,2705,3817,3306,2366,3184,3748,2596,2616,3896,2657,3814,2872,2948,2310,2491,2488
AKIRIN2,64,1819,38,2119,2762,2465,2011,2611,4086,2145,1267,1551,1947,1767,1720,2238,3474,1431,1159,1481
AKNA,435,8511,493,8991,7310,10878,14981,10601,10326,15935,4192,5860,6798,11855,9635,9125,28614,5800,6860,3798
AKNAD1,0,6,0,20,0,3,8,1,3,9,0,0,9,0,7,0,1,0,5,0
AKR1A1,538,2939,283,3373,1393,2722,2270,2361,3006,7653,2793,2114,3742,1393,5444,3867,4303,1946,2334,4663
AKR1B1,135,1103,48,1079,935,997,1324,341,872,3325,983,598,997,1064,1147,2283,1406,201,702,2527
AKR1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1B15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1C1,7,139,10,106,686,30,18,49,138,58,40,196,70,22,16,38,124,0,20,141
AKR1C2,1,34,1,43,13,22,14,14,8,23,15,10,8,0,1,39,5,1,7,28
AKR1C3,29,1461,44,642,516,1596,178,148,352,3026,308,1500,1682,107,2257,683,679,683,1450,2549
AKR1C4,0,2,0,1,2,0,2,0,0,1,0,2,1,1,2,0,7,1,0,1
AKR1C6P,0,0,0,7,20,1,76,10,5,6,3,9,0,1,14,26,0,1,2,15
AKR1CL1,0,1,0,1,5,0,0,1,0,2,0,3,2,0,0,0,28,0,1,2
AKR1D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR1E2,8,76,13,150,45,81,62,80,24,107,75,61,15,27,11,101,14,0,63,48
AKR7A2,26,1323,36,794,1108,1281,1335,733,1119,3145,1159,911,1234,913,1576,2093,5536,808,1963,1997
AKR7A2P1,0,6,0,12,6,3,5,2,4,1,11,2,2,4,3,5,1,4,0,2
AKR7A3,27,35,14,64,8,8,16,4,10,13,17,7,12,5,12,17,87,14,13,11
AKR7L,2,19,7,34,10,4,10,5,8,19,7,15,10,6,16,15,25,10,11,11
AKT1,740,10916,244,7913,5613,9693,7612,6797,6960,9668,6170,4317,9391,7095,8364,7907,18618,5052,7517,11304
AKT1S1,197,1076,99,1271,553,1038,964,675,1048,1042,766,579,958,608,1365,1082,3283,801,829,781
AKT2,223,6691,189,4892,3773,5056,4013,3780,4121,5583,3494,3697,5809,3732,4754,4436,15859,3847,4384,4870
AKT3,4,2184,6,1188,708,380,1972,592,372,718,115,872,188,2740,3052,497,4,21,27,20
AKTIP,16,118,6,389,551,323,212,601,401,353,157,284,303,405,402,279,181,160,183,219
ALAD,60,1618,42,2726,3021,2971,2483,2522,3098,4857,2553,2440,2669,2486,2979,3508,5857,1732,2348,1776
ALAS1,124,1097,57,1905,5329,2453,1409,2645,3030,2183,3543,3464,1639,3399,1651,3156,5198,1961,1589,1617
ALAS2,9,290,14,9473,857,61,12,22,30,124,29,1293,404,31,1451,6,18,24,235,51
ALB,3,30,1,3,2,6,2,7,1,1,0,0,2,0,1,2,0,0,0,4
ALCAM,177,3723,151,3774,2068,3920,2380,2074,3971,5380,4223,888,4173,4158,917,7449,866,4709,4913,5439
ALDH16A1,884,1522,663,2486,1636,1948,2203,2005,1677,2385,1203,1750,1995,1494,2799,2341,8332,1266,2064,2401
ALDH18A1,105,1977,42,1476,2079,2468,1399,556,2747,3909,3632,2408,2662,686,2262,4204,1708,1711,3822,4128
ALDH1A1,33,26,4,1314,1508,4404,134,1264,358,166,41,2408,248,610,12086,224,6,1,650,861
ALDH1A2,0,0,1,1,3,4,3,2,9,4,1,8,2,2,0,4,0,0,1,0
ALDH1A3,1,45,3,54,26,29,21,38,70,61,59,26,58,53,51,103,25,125,81,44
ALDH1B1,13,393,6,295,302,609,358,131,688,1121,1118,679,831,138,1284,1233,809,409,925,887
ALDH1L1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0
ALDH1L1.AS1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ALDH1L1.AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
