gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
TEKT5,4,2,2,1,0,3,0,1,5,0,2,0,1,3,0,2,1,2,1,4
TELO2,1901,3975,819,4114,1598,1817,2372,1781,2396,4346,2433,1312,3090,996,2051,3133,7681,1907,1802,2779
TEN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN1.CDK3,0,47,0,52,12,25,16,23,14,13,16,7,35,23,18,18,62,17,13,20
TENC1,17,147,4,174,63,186,89,29,31,64,54,99,197,78,182,35,257,90,66,214
TENM1,2,21,1,118,139,56,132,81,115,111,33,42,69,16,24,45,45,62,77,58
TENM2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,3,0,2,0
TENM3,2,0,2,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
TENM4,2,1,0,2,3,22,0,6,8,3,0,11,13,24,4,53,350,0,3,0
TEP1,187,3332,110,4068,2878,6338,4325,5614,3607,4113,2031,4010,4694,2976,5492,3892,4903,3294,2493,2387
TEPP,2,1,0,6,6,6,20,9,9,0,1,8,7,2,154,18,72,0,3,25
TERC,3,6,0,2,13,3,3,0,4,7,8,2,5,0,4,8,4,2,0,13
TERF1,32,740,21,619,726,1045,872,543,995,1467,691,885,1116,1050,1259,1175,503,657,879,646
TERF2,54,767,20,755,683,1673,1488,634,974,2029,1002,870,1256,787,3473,2018,1279,1685,1717,1319
TERF2IP,92,3673,22,4636,2543,3007,2570,1939,2781,4112,2096,2081,2932,1948,4208,3073,3142,2400,2170,2198
TERT,33,5,7,43,31,4,72,6,16,76,48,33,3,6,7,26,71,0,6,54
TES,77,2857,42,2948,1841,5675,4621,2594,2774,3731,790,1736,5722,3918,2079,3964,1900,882,3213,1456
TESC,136,228,78,2280,1647,1202,918,1335,1141,1946,867,1361,850,658,242,1246,6597,1172,1605,1182
TESK1,111,635,62,1474,594,999,1326,596,1055,1070,312,775,682,555,1533,746,1573,1126,699,709
TESK2,24,288,6,502,909,515,736,696,592,645,345,433,407,484,959,454,1283,353,235,315
TESPA1,439,1744,188,1027,1222,5842,1023,329,787,4852,871,1963,5610,375,5520,1628,749,949,1483,5172
TET1,2,129,6,88,60,225,373,78,90,322,230,192,261,40,556,161,27,113,256,109
TET2,89,3394,47,3851,6981,8615,5029,7788,6639,4454,3958,2959,5560,5111,4044,5914,2053,4224,2972,1917
TET3,55,1837,28,3973,3443,5714,5471,6920,4007,3326,3407,2975,4432,4124,3332,3758,10560,2381,2382,1449
TEX10,115,1981,53,1093,680,1110,1297,464,907,2083,1674,1057,1260,520,1702,1908,310,1739,1204,1278
TEX101,0,0,0,0,20,0,4,1,0,5,0,7,2,0,1,1,0,0,3,0
TEX11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TEX12,1,20,0,21,9,7,16,12,6,12,3,2,13,2,5,4,2,4,6,6
TEX13A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX13B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX14,2,21,0,15,17,14,7,9,10,10,4,6,19,7,15,5,4,6,1,6
TEX15,0,0,0,2,7,1,0,2,1,0,1,0,1,2,3,0,0,0,0,0
TEX19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
TEX2,40,1040,13,1625,3082,1856,2459,3396,3397,3965,2101,2176,1636,2351,5421,3004,3072,1083,1849,1327
TEX21P,11,32,4,21,14,25,7,6,10,31,6,6,21,3,17,12,4,7,9,6
TEX22,12,221,3,352,71,111,128,97,49,180,98,37,175,65,92,84,860,275,86,117
TEX26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX26.AS1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0
TEX261,35,1470,24,1958,2054,3077,2529,2506,2299,3880,2042,2454,2451,2186,3009,3204,3409,1404,2201,2491
TEX264,236,2216,162,1840,1047,1534,1319,1183,1472,2533,1349,1009,1967,1394,1205,1985,4233,1769,1873,2595
TEX28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX29,11,35,2,31,5,10,7,5,20,3,7,4,6,5,15,2,5,21,4,3
TEX30,177,976,22,519,425,472,1014,109,459,1384,791,602,566,273,349,1178,286,479,941,893
TEX33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX38,2,1,0,1,3,3,1,3,0,0,4,0,1,2,3,1,4,2,2,1
TEX40,0,13,0,12,3,2,4,3,1,1,0,1,2,4,2,3,5,5,2,3
TEX9,3,16,1,74,46,128,25,15,28,55,14,52,231,15,83,102,4,48,72,78
TF,5,143,4,26,49,29,16,37,25,21,2,15,29,46,62,12,192,8,20,14
TFAM,41,1595,20,1330,1095,1984,1924,1133,1662,3039,2493,1489,2127,1506,1882,3045,509,1680,1855,1694
TFAMP1,0,5,1,0,1,1,0,1,0,0,0,1,0,2,0,1,0,2,1,0
TFAP2A,1,4,0,10,0,3,2,0,1,1,5,0,1,0,1,3,6,0,2,3
TFAP2B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2C,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2E,121,643,65,466,173,336,257,178,155,390,153,228,447,355,450,262,751,341,401,362
TFAP4,58,950,30,784,209,386,429,214,387,1074,731,389,500,181,520,888,1244,610,610,363
TFB1M,71,447,18,243,141,428,213,143,390,576,362,205,365,154,319,701,120,347,410,421
TFB2M,50,436,16,350,246,718,614,248,612,926,888,446,870,235,509,1150,496,537,695,1072
TFCP2,224,2274,150,2205,1423,3172,2836,2141,2686,3209,1938,1745,2743,2011,2290,3188,1797,1566,1840,2196
TFCP2L1,4,0,0,1,22,3,1,8,3,9,14,2,16,27,531,19,73,6,46,53
TFDP1,106,3474,30,3941,5745,3336,1932,3882,2997,7323,4081,3458,2962,3362,1127,6040,9293,3217,5116,5533
TFDP2,318,3314,127,2764,2406,11261,2463,1288,2239,5380,3653,2987,8730,1057,8998,4888,3579,5951,5968,6159
TFDP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFE3,183,3002,122,3798,3700,5043,3824,3514,3355,4188,1076,2896,3226,4187,4734,2825,7553,2445,1797,2384
TFEB,85,685,162,2281,1272,1915,2118,1846,1380,1316,162,902,815,1829,503,1261,3552,663,477,780
TFEC,116,6312,68,5348,1789,6666,2362,4070,3375,4363,3578,925,3928,2962,3092,4026,211,3585,3531,1330
TFF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
TFF3,0,4,0,0,401,0,1,185,3,38,2,16,0,126,2,0,834,1,5,5
TFG,161,1857,44,2010,1304,2397,1403,1147,1708,2485,1392,1246,2024,1232,2242,2395,1831,1664,1887,1655
TFIP11,201,1014,170,1745,898,1866,1159,969,1568,1449,1297,1222,1714,1610,2171,2080,3205,1043,1414,1021
TFPI,27,1578,30,687,312,1693,1683,104,209,1638,176,497,2442,210,2626,296,21,1922,1282,1065
TFPI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
TFPT,139,936,114,764,298,542,485,364,437,800,315,317,664,254,718,533,1975,457,516,746
TFR2,130,337,28,635,1040,624,227,131,354,604,404,438,1457,36,1381,689,3148,33,162,1063
TFRC,313,3374,265,5809,14024,7412,3220,3028,8651,5638,4751,7270,8771,951,3208,4444,324,2965,5539,15376
TG,5,4,1,10,200,66,30,56,72,25,11,69,24,51,43,52,64,7,2,20
TGDS,32,890,16,601,233,540,280,260,519,618,540,310,433,382,449,804,84,546,439,268
TGFA,3,176,0,532,737,85,8,147,180,147,81,48,172,27,96,121,188,60,30,50
TGFB1,322,7053,137,6711,12275,13415,12066,10468,8986,12414,3286,9239,9492,8462,11633,7879,36444,7388,8420,11856
TGFB1I1,19,336,6,123,159,32,416,15,36,274,10,671,84,76,1063,17,391,34,16,266
TGFB2,0,0,0,9,1,2,10,2,0,0,10,1,0,11,2,0,0,0,0,0
TGFB3,14,393,21,158,44,100,142,18,42,95,147,103,70,79,129,77,54,42,40,87
TGFBI,13,14,17,5231,486,209,727,4121,86,1659,17,439,315,144,79,461,614,8,55,35
TGFBR1,71,1775,36,2205,2045,2969,2238,2049,1058,2728,1784,1300,1637,4053,2143,2442,901,1729,2082,1154
TGFBR2,43,1706,11,2553,3215,5459,5132,4114,3109,3250,1604,1731,3181,6082,3581,3445,3505,2556,2488,1513
TGFBR3,1,20,2,73,144,43,146,134,224,81,8,171,176,90,68,28,77,13,45,21
TGFBR3L,1,8,0,18,4,4,6,4,7,3,2,11,2,25,9,1,15,2,4,2
TGFBRAP1,15,1347,11,870,1274,2371,3529,1122,1642,3820,3509,1302,2247,1339,7312,2484,4398,1643,2151,1944
TGIF1,85,2115,38,2155,232,979,979,576,2084,982,1036,107,1607,798,867,1228,306,1413,550,462
TGIF2,247,2808,190,2519,416,2055,2364,489,920,3551,1532,1152,2131,868,4852,1954,2596,1655,1881,1329
TGIF2.C20orf24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGIF2LX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGIF2LY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGM1,14,68,17,161,21,52,40,51,46,65,39,31,88,19,72,61,114,76,26,25
TGM2,6,25,1,280,725,485,252,419,199,75,3,478,592,100,115,241,225,9,104,1313
TGM3,2,0,2,3,205,20,2,203,177,21,248,4,72,51,14,17,101,2,75,13
TGM4,3,6,0,15,32,9,12,29,11,3,9,9,13,1,5,6,13,0,1,3
TGM5,1,0,0,2,64,41,1,74,13,10,5,32,54,13,3,18,15,27,23,9
TGM6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TGM7,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0
TGOLN2,289,6592,155,11606,15547,26546,23663,23974,24587,15209,15012,11606,18908,22380,13225,18210,17966,8589,13053,8949
TGS1,28,812,13,670,513,1088,892,539,1000,1410,1075,714,1216,867,1228,1777,259,799,934,677
TH,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0
THADA,282,2409,247,2335,972,1894,1388,1065,1728,2221,1726,1077,1962,1002,1538,2593,780,1466,1736,1232
THAP1,12,278,4,323,218,584,444,320,502,564,445,352,501,481,463,636,203,361,374,379
THAP10,0,26,0,18,7,48,0,5,50,0,11,1,41,5,96,11,13,0,0,15
THAP11,89,1245,18,1351,666,1625,1503,760,1377,2358,1086,1176,1576,1286,2370,1918,2959,1527,1576,2231
THAP2,8,308,3,169,73,400,135,70,285,376,184,189,227,136,395,419,86,386,176,98
THAP3,98,734,69,706,182,353,309,149,438,691,271,281,398,258,459,577,786,664,327,341
THAP4,70,1156,20,1031,907,1050,1311,612,1171,2204,1213,1174,1324,685,1576,1560,3717,1117,1300,1899
THAP5,18,962,8,855,568,907,581,542,536,844,391,234,704,476,431,972,224,741,457,406
THAP6,3,322,1,327,148,367,251,203,260,250,254,215,271,285,294,498,47,381,200,164
THAP7,202,705,76,738,215,448,377,266,414,993,416,323,473,347,449,645,1391,343,440,486
THAP7.AS1,20,134,2,107,47,91,71,55,49,336,70,23,127,34,81,130,320,73,67,155
THAP8,9,92,3,175,139,257,178,149,201,254,136,140,226,108,235,249,431,275,138,211
THAP9,16,283,14,225,91,293,207,124,222,299,134,115,249,108,259,287,1,252,182,113
THAP9.AS1,250,2860,138,2533,1245,1891,1167,1570,1689,2320,1813,1526,1855,1362,1336,1981,413,2161,1511,1219
THBD,7,52,0,237,773,160,222,78,869,232,106,355,2147,238,186,251,155,110,44,17
THBS1,41,20,7,241,5907,843,10,2944,19605,657,139,2545,10518,447,728,6549,69,7,306,505
THBS2,14,9,7,37,20,27,33,41,57,55,85,18,46,69,85,53,11,0,21,21
THBS3,855,1650,476,3752,2016,1640,921,1898,1113,1112,1214,533,1966,1520,3192,1700,3632,1782,932,2650
THBS4,5,14,1,199,816,44,42,472,102,48,11,204,38,384,11,20,250,6,40,11
THEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THEG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THEGL,0,0,0,2,5,0,0,0,1,0,0,0,0,0,2,1,3,1,0,0
THEM4,76,85,146,853,744,927,469,379,509,582,553,500,1656,206,1486,934,331,405,1011,1255
THEM5,0,1,0,15,3,1,8,4,5,0,0,11,26,16,5,3,16,2,4,5
THEM6,31,465,21,424,381,616,431,245,369,1288,574,489,504,315,1169,713,1598,431,720,822
THEMIS,0,23,3,106,74,57,175,57,99,79,8,191,184,45,23,27,13,14,24,21
THEMIS2,428,1835,196,9648,9109,11933,7605,10664,11529,10968,1924,5427,6211,8761,4127,6070,18030,2598,2301,1341
THG1L,19,495,9,393,197,395,392,247,354,687,601,390,579,271,286,534,316,454,348,491
THNSL1,15,369,1,178,108,292,156,23,170,717,357,200,207,50,419,585,21,305,262,204
THNSL2,1,217,2,66,162,46,45,92,8,0,5,7,127,111,83,200,0,0,0,163
THOC1,842,3047,482,2643,696,1058,899,844,1139,1315,1398,828,956,568,1153,1691,66,783,992,774
THOC2,618,3218,621,2696,2343,4462,3883,2373,2388,3556,2985,2372,3928,2971,3136,3922,56,2422,3230,2466
THOC3,7,869,7,458,301,291,347,237,412,682,277,644,591,200,177,798,1168,429,696,529
THOC5,224,1478,70,992,1424,1123,1180,978,1227,1962,974,791,1330,962,1131,1138,1945,546,1010,1134
THOC6,200,1585,133,1501,691,924,1094,893,1036,2147,999,886,1186,683,1256,1354,3407,803,1203,1416
THOC7,64,3392,24,1938,1419,1519,1295,996,1550,3084,1586,1098,1708,1103,1273,2086,206,1249,1586,1941
THOP1,464,2147,412,1357,1304,1153,1142,583,1339,3021,1605,1223,1721,503,2003,2281,4915,1114,1885,2423
THPO,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0
THRA,19,330,16,913,751,863,813,842,769,1936,1109,695,1082,721,1557,947,4910,820,971,775
THRAP3,168,4774,161,5835,4024,7050,5897,3690,6412,8426,5400,5157,5273,6036,6586,9357,5999,5222,7142,3075
THRB,1,1,0,13,321,1,2,3,6,4,0,1,15,1,1487,3,0,0,1,0
THRB.AS1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
THRSP,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0
THSD1,7,15,7,15,7,30,15,8,6,14,12,4,22,6,45,37,40,31,5,30
THSD4,1,0,0,0,0,1,0,0,2,0,0,0,1,0,3,0,0,0,1,0
THSD7A,0,3509,2,1,1,2,207,7,2,32,1,2,95,20,29,0,4,5,4,0
THSD7B,0,0,0,0,0,1,0,0,3,0,6,0,15,3,0,3,0,0,1,1
THTPA,37,240,19,495,575,783,650,499,703,842,581,439,601,392,686,808,1473,347,446,623
THUMPD1,100,1721,34,2046,1087,2615,2363,1609,2347,2951,1567,1226,3181,1036,3990,2385,369,1222,1512,1098
THUMPD2,144,1464,51,938,482,553,477,276,481,722,617,463,562,283,590,912,88,529,461,545
THUMPD3,82,1293,52,1289,819,1768,1204,862,1266,1994,1248,857,1410,1036,1355,1570,504,927,1255,1226
THY1,0,0,0,5,21,1,3,0,3,4,0,67,0,0,17,1,26,0,6,0
THYN1,176,1930,190,1578,858,1347,873,808,986,2152,928,845,1231,916,567,1595,860,1055,1097,1546
TIA1,666,5921,403,8421,3126,10575,6211,3639,5462,7225,4684,4172,9578,4320,8400,8340,1139,6976,5276,4750
TIAF1,1,98,0,35,7,28,26,18,20,10,51,12,31,6,47,27,16,29,16,8
TIAL1,1067,6537,534,6055,2343,3841,3858,2853,3451,4995,3565,2280,3675,2760,4093,4234,720,3823,2906,2947
TIAM1,4,30,1,184,134,158,31,326,34,40,13,464,180,64,240,140,115,10,13,38
TIAM2,4,53,2,60,68,40,155,56,28,51,33,72,37,10,377,42,27,61,25,33
TICAM1,40,510,22,890,716,1130,1190,705,1234,1241,408,989,775,912,915,1001,1849,539,597,491
TICAM2,1,2,0,24,17,31,41,40,29,20,6,16,12,92,3,24,104,0,0,5
TICRR,42,438,19,245,613,243,77,347,976,674,720,465,57,333,146,1296,1666,70,552,316
TIE1,151,18,38,381,643,798,134,76,680,1275,183,1364,3573,37,2446,951,4774,687,1361,2637
TIFA,15,688,14,797,605,522,432,274,378,642,623,412,476,529,698,732,329,281,405,332
TIFAB,0,0,0,102,28,34,45,16,11,247,2,55,3,33,1,72,57,0,337,0
TIGD1,88,2389,68,1269,297,433,626,116,238,699,449,358,779,92,855,512,95,804,227,746
TIGD2,50,474,8,404,150,450,233,89,260,642,329,212,297,229,428,477,12,361,273,345
TIGD3,8,72,8,97,25,65,108,58,37,86,8,22,96,120,203,18,255,31,53,25
TIGD4,1,4,1,4,3,30,8,6,4,16,11,10,27,10,32,28,6,16,4,9
TIGD5,8,374,0,368,168,335,429,132,291,836,320,279,310,257,814,352,1539,472,455,405
TIGD6,13,139,3,138,58,248,141,51,188,235,193,87,194,118,87,227,88,139,143,104
TIGD7,32,531,24,705,182,437,309,189,237,634,341,493,513,151,962,376,109,376,201,192
TIGIT,0,44,2,97,82,27,127,91,173,70,19,264,274,33,52,16,65,11,25,15
TIMD4,0,10,0,8,3,5,3,2,27,53,6,81,4,0,1,12,28,0,16,1
TIMELESS,401,3713,211,1867,3054,1579,741,1344,2448,3795,2396,1689,843,1545,910,4190,5493,411,2484,2316
TIMM10,68,689,33,751,406,303,340,366,517,1237,546,214,507,248,321,568,1219,262,424,693
TIMM10B,34,728,10,934,790,1073,1171,879,894,1359,914,764,1426,785,1766,1510,795,918,1166,880
TIMM13,205,2016,126,1517,914,1274,1306,736,1157,3086,1541,812,1999,657,2268,2078,5281,1293,1835,3551
TIMM17A,170,1163,106,1326,875,1370,1016,833,1079,1560,1014,1034,1068,847,777,1969,182,759,1315,1145
TIMM17B,73,1064,47,1159,980,790,986,795,893,1684,687,818,947,852,980,1012,4829,839,817,985
TIMM21,35,737,26,685,169,485,355,196,469,802,539,320,396,231,442,861,104,322,479,425
TIMM22,19,443,9,555,372,578,533,325,472,1137,466,474,493,351,515,751,1051,397,596,698
TIMM23,86,1058,58,956,399,683,425,275,662,945,585,425,860,322,499,1174,61,354,675,705
TIMM44,147,1044,75,1075,626,736,830,653,766,1310,884,565,902,404,860,1179,1685,841,856,1215
TIMM50,235,1271,113,918,820,808,1034,647,1009,1994,1263,878,1242,432,1213,1738,2937,769,1224,1945
TIMM8A,85,433,45,411,212,273,230,151,271,466,409,246,319,116,387,542,348,252,317,270
TIMM8B,121,840,15,781,604,730,599,386,614,1064,551,477,761,514,546,1090,918,548,621,969
TIMM9,52,1184,65,1040,345,584,652,322,640,1396,889,520,725,283,697,891,173,875,636,677
TIMMDC1,159,1862,130,1682,1068,2133,1431,1049,1524,2833,1202,967,1741,958,992,2341,1406,1128,1728,1902
TIMP1,109,1610,54,3847,2997,5176,4865,1953,5042,3985,297,14236,4280,3991,1528,3494,3666,4088,5887,4906
TIMP2,85,1053,85,7710,4408,11677,12914,7893,9735,7606,3148,3530,7232,9731,5744,9160,13380,5638,5954,2826
TIMP3,1,12,0,57,833,38,82,36,176,451,14,2926,58,242,4318,43,159,0,19,31
TIMP4,0,0,0,1,2,3,0,0,7,44,2,1,3,15,1,43,3,0,15,1
TINAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TINAGL1,1,0,0,0,6,10,7,3,4,10,1,11,0,1,1088,3,17,0,1,16
TINCR,3,10,4,16,17,15,40,18,32,14,13,18,12,3,46,5,7,9,12,5
TINF2,100,1950,32,2260,2447,3065,3211,2391,2335,4140,1470,2161,3253,2685,2849,2998,4697,2085,2104,3288
TIPARP,34,931,11,833,1966,1555,1759,940,2049,936,1930,825,1695,908,979,1497,88,892,972,841
TIPARP.AS1,6,76,2,79,38,38,61,34,29,54,64,19,33,38,20,34,61,41,25,30
TIPIN,19,369,15,178,377,164,139,164,230,497,303,209,123,201,167,584,29,61,250,214
TIPRL,71,1742,26,1390,1337,2372,1443,1382,1887,3456,1803,1517,1981,1180,1956,2513,694,1767,2028,1928
TIRAP,19,204,9,324,320,455,430,519,441,521,289,327,320,668,179,622,1257,305,327,172
TISP43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJAP1,370,2722,256,2268,957,1690,1468,996,1317,1982,1065,1155,1601,1180,2092,1595,3849,1321,1221,1311
TJP1,0,0,0,0,7,2,0,0,8,0,3,16,0,2,11,1,0,0,1,0
TJP2,48,377,41,1577,1401,1671,2630,1144,1420,1960,408,1504,1307,2016,2321,777,1281,272,850,1197
TJP3,0,11,0,54,6,8,6,5,17,7,0,8,22,15,688,3,77,27,3,3
TK1,149,1302,27,600,3161,648,226,794,1173,3444,1094,1270,218,1602,459,2353,8949,296,1743,1768
TK2,171,1027,164,1590,591,2520,1493,1601,1409,2316,1196,431,1474,1784,1213,1506,1843,1096,1073,862
TKT,655,9639,712,30862,39848,18037,23287,58493,25661,44579,20989,23669,20177,58087,13830,29147,151692,19616,11387,14735
TKTL1,1,5,0,14,32,1,7,27,16,10,133,25,19,1,13,5,674,7,22,8
TKTL2,0,5,0,3,1,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0
TLCD1,15,22,1,15,8,22,20,14,31,29,69,28,13,12,11,71,47,8,45,36
TLCD2,1,1,1,14,12,98,56,21,25,22,0,13,20,22,140,11,39,8,22,25
TLE1,11,71,3,307,51,77,109,205,348,258,116,296,199,58,91,221,521,75,133,90
TLE2,14,121,2,75,9,11,125,14,24,7,4,41,33,5,142,3,13,117,6,3
TLE3,125,2496,79,2024,5157,4033,3192,3191,4504,3098,2042,2526,4323,2321,5415,3279,6912,2290,1735,2937
TLE4,137,1590,148,3535,1854,3348,3742,2918,3791,5509,3476,1862,3719,3640,4637,3699,4544,2204,2787,1137
TLE6,0,1,1,2,6,10,6,1,7,2,2,7,1,0,29,5,48,0,1,1
TLK1,83,2072,35,2240,2608,3199,3024,1860,2627,3967,2357,2200,3502,2850,4460,2944,835,2267,2786,2646
TLK2,87,1636,27,1489,1321,1820,1655,1256,1731,2316,1531,1364,1932,1489,2699,2034,862,1763,1309,1239
TLL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLL2,1,2,0,7,0,5,44,4,2,0,3,4,5,1,2,5,0,0,1,7
TLN1,403,7793,166,15642,42897,48076,36720,42751,38662,38168,17515,35692,30447,31681,34836,35186,101642,12607,22902,18830
TLN2,7,79,3,54,125,306,65,37,202,96,300,65,196,110,283,156,418,37,123,163
TLR1,8,450,9,1109,2671,2401,1245,2126,1870,1672,318,1116,1868,2340,776,1157,258,596,369,190
TLR10,2,29,9,100,400,221,176,79,70,199,11,162,127,77,48,146,4,56,51,9
TLR2,222,2174,85,8025,6200,7760,5911,5665,7963,3136,2382,3190,3044,4768,446,6342,799,1632,2313,696
TLR3,2,63,0,29,7,99,11,8,16,47,16,43,83,3,126,16,2,0,178,20
TLR4,50,1206,17,4683,4641,13379,7292,7790,12481,3462,4982,4135,5025,14852,533,11155,806,439,1817,265
TLR5,8,3,11,1101,710,1479,661,872,1223,718,105,219,400,1163,36,935,32,51,57,54
TLR6,25,1686,22,948,1736,1604,642,1274,790,991,196,503,745,2753,1001,1099,281,1714,442,223
TLR7,3,2,4,366,174,2689,1311,849,777,773,14,841,393,383,45,780,25,2,124,5
TLR8,20,0,2,2484,1373,6064,5652,4275,5349,2429,367,3048,1827,9569,359,2933,154,7,124,20
TLR8.AS1,0,10,2,14,11,11,14,92,8,16,4,13,8,22,3,5,56,5,5,1
TLR9,16,909,17,231,278,277,122,185,212,185,177,141,225,119,191,412,563,279,288,273
TLX1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1
TLX1NB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX2,0,24,0,2,1,3,1,1,1,35,4,7,1,0,0,4,4,1,0,3
TLX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM2D1,28,771,15,734,595,1046,654,823,673,696,609,437,907,849,691,793,436,508,809,709
TM2D2,84,1369,63,1157,309,1145,710,342,1111,1180,720,626,710,772,1213,1298,388,795,777,591
TM2D3,69,1032,49,1148,448,1073,558,576,1408,889,503,603,792,846,1360,951,850,751,587,346
TM4SF1,2,281,3,57,117,2139,462,31,84,310,5,222,1648,33,4551,130,14,172,194,734
TM4SF18,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,1,0,0
TM4SF19,2,3,0,2,4,6,5,0,2,2,4,0,3,1,0,2,0,0,0,2
TM4SF19.TCTEX1D2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM4SF20,0,0,0,6,2,1,3,1,1,0,0,0,1,0,1,0,0,0,2,1
TM4SF4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
TM4SF5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TM6SF1,5,103,6,1094,868,601,452,1216,558,504,44,324,487,1757,488,361,361,69,65,61
TM6SF2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
TM7SF2,188,1557,121,1088,195,353,357,113,290,453,312,289,641,116,805,297,1055,448,341,517
TM7SF3,406,5891,249,4443,6537,10366,3432,4203,9317,15028,18329,4891,8543,4286,8125,15933,3129,6809,12014,9916
TM9SF1,50,945,32,997,864,2136,1275,825,1501,1547,1086,1019,1627,1241,1988,2135,1967,1270,1738,1714
TM9SF2,149,4246,77,5880,5659,12700,8311,8587,9151,9887,7359,6061,8720,10489,6666,11133,5692,7024,8578,6283
TM9SF3,75,4166,40,4995,3335,7753,7057,4846,5917,6314,5530,4375,7397,5472,3165,7287,728,5108,6283,4886
TM9SF4,127,2533,54,3450,2546,6601,5867,4887,4956,4461,3092,3031,4493,7208,4625,5187,5559,3499,3689,2619
TMA16,28,891,12,575,430,711,668,406,595,1261,814,485,906,388,647,1331,300,729,735,799
TMA7,290,4119,71,3828,2840,2471,2438,2298,2674,4318,1403,1352,2718,2436,1876,3381,3611,2105,1881,2653
TMBIM1,95,3526,55,4261,3708,8679,6419,4412,5259,6773,1856,6944,8112,7990,5861,5708,2837,5497,4089,8912
TMBIM4,96,2790,42,2890,2494,4065,2862,3422,2984,4467,2615,1606,3453,3934,2136,3622,2418,1779,2361,2072
TMBIM6,317,10859,153,15882,16749,26777,23923,18853,23650,22408,14587,15504,20315,32074,13232,25438,12902,14562,19328,16421
TMC1,0,0,0,1,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0
TMC2,1,45,0,12,2,6,3,1,0,4,3,0,3,1,10,6,5,8,3,2
TMC3,1,4,0,19,48,14,10,40,22,27,12,14,2,27,38,26,62,8,13,20
